text,label
يا شبيهة الغيّم يا سيّدة الوْرد من مثلك؟ .,NOT
يا بهات الدار يا سيد الملاح .,NOT
إلى وسادتى <LF>حيث تعالت صيحاتها.اين أنت يا خليلى؟ <LF>فأجبتها هاأنا ذا يا خليلتى يا مؤنسة وحشتى ورفيقة دربى <LF>تصبحون على ما تتمنون,NOT
يالليله يا كئيبه يا حزينه يا ثقيله عديييييي .,NOT
وهو أنا كأهلاويه مستنيه تعثر فرقة تانية عشان أفرح ولا أتشفي فيها وأنا عندي فرقتي اللي دايمًا بشجعها ع الحلوة والمره (اللي بجد) يا شوية اوساخ يا بهايم الـ Social Media !,OFF
RT @USER: مو وقتك يا العلة مو وقتك يا العلة مو وقتك يا العلة هو مو ناقص 😭😭😭<LF>باران يا حبة عيني 🥺💔💔<LF>#Karagül URL,NOT
"RT @USER: @USER ليبيا والسودان امتداد للامن القومى المصرى يا إخوانية يا صناعة بريطانية، يا تربية انجليزى نظام ""فرق تسد"" يا أو...",OFF
RT @USER: الله عليك يا نصر يا كبير<LF>الف مبروك الفوز للعالميين<LF>#النصر_الزوراء 💙💛,NOT
يا حسرة قلبي عليك يا الفيزياء😭💙.<LF>#طلاب_الحادي_عشر URL,NOT
يا لطفي يا قلبي ياشقليطه ياكيكه ياحبي,NOT
@USER تيجي منك يا شيفو يا قلبوبي 😂😂 اشتقنا والله يا شوشو 💕,NOT
URL<LF>يا ورد يا نسرين يا تلج ع صنّين,NOT
@USER #BTS #BoyWithLuv @USER <LF>يا عمري يا قلبي يا روحي يا املي يا حياتي يا دنيتي اشتقتلك يا قلبي 😭😭😭😭😭😭😭😭😭❤❤❤❤❤❤❤❤❤,NOT
@USER يا فهد يا نمر يا بطل يا كل شيء حلو انت,NOT
"RT @USER: ""جاييك كايسلك يا نورة <LF>لا كت متسول لا صايع لكن العسكر باغتني <LF>يا نحس الحلم الباختني يا عفن الأيدي المأجورة""",OFF
RT @USER: يا ابن الحلال يا ضميري يلا قوم نكمل الرياضيات لازم اختمه قبل يوم السبت ارجوك قوم URL,NOT
انا بفخر بيك يا وطني<LF>بالروح بفديك يا وطني<LF>سقطت 😍😍😍,NOT
يا ديدا يا قمممممممر🌍🌸❤️🦋🌍❤️😍 — ي قلب ديدااا ❤❤❤❤ URL,NOT
يا نُور القمر .. يا ضحكه اللّيل الحُلوه .,NOT
وحيد يا ليل حيران يا ليل<LF>سهران يا ليل<LF>يا ليل يا ليل يا ليل<LF>يا ليــــــــــــــــل.,NOT
@USER امشي يا شماسي يا شيوعي قاعد تخت خيمة وتقول عندنا مطالب ؟😂😂😂😂💔,NOT
RT @USER: | دعاء تيسير الأمور | <LF>#اللهم يا مسهل الشديد، <LF>و يا ملين الحديد،<LF> و يا منجز الوعيد،<LF> ويا من هو كل يوم في أمر جديد، <LF>أخرجني م...,NOT
يا ربااااه يا معيوووووووووووووووف <LF>وعللا الفينال وديني <LF>سيناريو مهفن #الهلال_والاهلي,NOT
@USER يا ود انت يا عكليت <LF>بقيت زى حميدتى عارف نفسة مرفوض <LF>بقا كل يوم طالع بهجمة مرتدة لصالح الجماهير وتصيب هدفها.... <LF>بدأ يجد من يدافع له ....<LF>ماشة معاهو باسطة حرامي الحمير<LF>مش حاجه تحير<LF>الكيزان دايرين يضحكوا علينا تاني,OFF
يا الله يا حبيبي مدنا بالصبر على قدرك و الرضا بما قدّرت أن يكون بالرحمة والإنشراح،آمين,NOT
@USER يا مرحبا والله يا بو سلطان 💙,NOT
